Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,Unique_Metros,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
35028,FIRST BANCSHARES OF TEXAS INC,0003121344,0,0,0,0,0,35028,"FIRSTCAPITAL BANK OF TEXAS, NATIONAL ASSOCIATION","310 W. WALL ST,  SUITE 100",MIDLAND,TX,79701,48329,2021,202112,1,"2,041,502","2,041,502",L,,73.74%,84.03%,509917,17,1,1,Commercial Real Estate Lending Specialization,1,1,1,1,1,1,20220310
35029,COMMUNITY CAPITAL BANCSHARES,0002775142,0,0,0,0,0,35029,AB&T,2815 MEREDYTH DR.,ALBANY,GA,31708,13095,2021,202112,1,"256,834","256,834",S,,66.82%,85.46%,221587,2,0,1,Multi Specialty Lender,NA,NA,NA,NA,NA,NA,20220310
35031,FREEDOM HOLDINGS CO,0002734439,0,0,0,0,0,35031,FREEDOM FINANCIAL BANK,1255 JORDAN CREEK PKWY.,WEST DES MOINES,IA,50266,19049,2021,202112,1,"232,535","232,535",S,,73.13%,62.18%,138717,2,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35033,AMERICAN COMMUNITY BCORP INC,0004111584,0,0,0,0,0,35033,AMERICAN COMMUNITY BANK,300 GLEN ST.,GLEN COVE,NY,11542,36059,2021,202112,1,"266,884","266,884",S,,66.86%,85.73%,92329,5,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35052,HEARTLAND BANCSHARES INC,0002800482,0,0,0,0,0,35052,HEARTLAND NATIONAL BANK,320 US. HWY. 27 N.,SEBRING,FL,33870,12055,2021,202112,1,"658,568","658,568",S,,22.30%,92.10%,222394,4,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35056,MADISON CMTY BANCSHARES CORP,0003619702,0,0,0,0,0,35056,MADISON COUNTY COMMUNITY BANK,301 E BASE ST,MADISON,FL,32340,12079,2021,202112,1,"171,035","171,035",S,,40.00%,91.26%,149244,1,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35060,THIRD STREET BANCSHARES INC,0002747288,0,0,0,0,0,35060,THE SETTLERS BANK,115-121 3RD ST.,MARIETTA,OH,45750,39167,2021,202112,1,"148,657","148,657",S,,50.56%,87.28%,123296,1,0,1,Mortgage Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35075,,,1,0,0,0,0,35075,THE PHILADELPHIA TRUST COMPANY,"1760 MARKET ST, 2ND FL.",PHILADELPHIA,PA,19103,42101,2021,202112,0,"24,155","24,155",S,,26.39%,26.84%,5908,1,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35084,PETIT JEAN BANCSHARES INC,0002877402,0,0,0,0,0,35084,PETIT JEAN STATE BANK,707 NORTH ST. JOSEPH ST.,MORRILTON,AR,72110,05029,2021,202112,1,"222,644","222,644",S,,42.14%,82.78%,166311,2,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
1097995,CLARK COUNTY BANCSHARES INC,0001097995,0,0,0,0,0,35094,COMMUNITY BANK OF MEMPHIS,112 E. MADISON,MEMPHIS,MO,63555,29199,2021,202112,1,"57,061","181,502",S,,54.02%,86.35%,58860,4,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
